date,open,high,low,close,volume
2025-10-01,50.865000,52.570000,50.650000,52.430000,93996434
2025-10-02,53.405000,53.417500,52.330000,53.070000,89158698
2025-10-03,53.220000,53.435000,51.880000,52.350000,103096370
2025-10-06,53.700000,53.941200,53.065000,53.520000,82476726
2025-10-07,53.850000,54.030000,52.260000,52.655000,100185818
2025-10-08,52.860000,54.524950,52.830000,54.440000,86931056
2025-10-09,54.438000,54.480000,53.377500,54.225000,87956100
2025-10-10,54.365000,54.830000,48.415100,48.535000,238009404
2025-10-13,51.030000,51.840000,50.425050,51.615000,114511130
2025-10-14,49.865000,51.765000,48.535000,50.565000,147230048
2025-10-15,52.070000,52.755000,50.020000,51.600000,127069378
2025-10-16,52.340000,53.165000,49.875000,51.025000,159343968
2025-10-17,50.460000,52.385000,50.060000,51.995000,142274018
2025-10-20,52.805000,54.260000,52.775000,53.945000,79928832
2025-10-21,53.947500,54.240000,53.335000,53.885000,79811454
2025-10-22,53.725000,53.870000,50.790000,52.300000,134380740
2025-10-23,52.135000,53.815000,52.040000,53.610000,91244990
2025-10-24,54.995000,55.630000,54.765000,55.280000,84387668
2025-10-27,57.260000,58.345000,57.135050,58.215000,77489436
2025-10-28,58.825000,60.037800,58.530000,59.545000,92239436
2025-10-29,60.285000,60.685000,58.770000,60.305000,133060878
2025-10-30,59.295000,59.670000,57.515000,57.545000,127234270
2025-10-31,59.745000,59.745000,57.690000,58.360000,122666876
2025-11-03,60.000000,60.208800,58.540000,59.160000,83597916
2025-11-04,56.680000,57.704950,55.321650,55.540000,124762784
2025-11-05,55.340000,57.500000,54.970000,56.620000,109730040
2025-11-06,56.185000,56.250000,53.060000,53.445000,156461384
2025-11-07,52.510000,52.921800,49.980000,52.890000,183589372
2025-11-10,55.215000,56.625000,54.705000,56.355000,119878754
2025-11-11,55.635000,56.210000,54.800000,55.890000,102665534
2025-11-12,56.765000,56.770000,54.865000,55.775000,125708378
2025-11-13,54.785000,54.940000,51.700000,52.330000,201264402
2025-11-14,49.990000,53.545000,49.385000,52.370000,222397596
